train_sup_loss,trainAccuracy,trainPrecision,trainF1,trainIoU,train_unsup_loss,epoch,step,val_sup_loss,valAccuracy,valPrecision,valF1,valIoU
,,,,,,29,2249,0.29057255387306213,0.8762139678001404,0.8815189599990845,0.854252278804779,0.7498515844345093
0.21597391366958618,0.914825439453125,0.9147173166275024,0.8541946411132812,0.7573302984237671,0.015638871118426323,30,2299,,,,,
0.21373511850833893,0.9087715148925781,0.9080280065536499,0.8721522092819214,0.7798395156860352,0.021102681756019592,31,2349,,,,,
0.1584814190864563,0.9432907104492188,0.9522901773452759,0.9210942983627319,0.8565234541893005,0.012980525381863117,31,2399,,,,,
0.15072108805179596,0.9387245178222656,0.9404836893081665,0.9185534715652466,0.8519763946533203,0.024523533880710602,32,2449,,,,,
0.1609504073858261,0.9322967529296875,0.9341540336608887,0.9031840562820435,0.8277422189712524,0.01989307440817356,33,2499,,,,,
0.11607111990451813,0.9514389038085938,0.9588351845741272,0.8952755928039551,0.8191735744476318,0.017541592940688133,33,2549,,,,,
0.3729245364665985,0.8390769958496094,0.8681251406669617,0.8129227161407471,0.6906805634498596,0.023696664720773697,34,2599,,,,,
,,,,,,34,2624,0.3460403382778168,0.8453538417816162,0.8697875738143921,0.8157727718353271,0.695453405380249
0.1611073911190033,0.9401969909667969,0.9471458792686462,0.8816531896591187,0.7983161211013794,0.01865452527999878,35,2649,,,,,
0.18672382831573486,0.9038581848144531,0.9095012545585632,0.8675618171691895,0.7727458477020264,0.018731456249952316,35,2699,,,,,
0.21421347558498383,0.9170646667480469,0.9162973165512085,0.8997474908828735,0.8203750848770142,0.014791162684559822,36,2749,,,,,
0.13617472350597382,0.9533805847167969,0.953224241733551,0.9243131279945374,0.8628189563751221,0.016629748046398163,37,2799,,,,,
0.2727948725223541,0.8825645446777344,0.8920518755912781,0.8620821237564087,0.7614388465881348,0.02221636101603508,37,2849,,,,,
0.21601681411266327,0.9114913940429688,0.9124466180801392,0.8587592840194702,0.762557864189148,0.02675926685333252,38,2899,,,,,
0.1567234843969345,0.9408187866210938,0.9459044933319092,0.9137086868286133,0.8447839021682739,0.025864198803901672,39,2949,,,,,
0.1678304523229599,0.9361839294433594,0.9357901811599731,0.9227253794670105,0.8582019805908203,0.021561427041888237,39,2999,,,,,
,,,,,,39,2999,0.3448233902454376,0.8462451100349426,0.8554102182388306,0.8169441223144531,0.6970407962799072
0.14453572034835815,0.9313468933105469,0.9308915138244629,0.8984851837158203,0.8206871747970581,0.025523383170366287,40,3049,,,,,
0.13455528020858765,0.9582901000976562,0.9610216021537781,0.9373899698257446,0.884341835975647,0.028591081500053406,41,3099,,,,,
0.165480375289917,0.9364776611328125,0.9375225305557251,0.9026635885238647,0.8275905847549438,0.019622858613729477,41,3149,,,,,
0.1573193073272705,0.938690185546875,0.9378535151481628,0.904873788356781,0.8311852216720581,0.032901108264923096,42,3199,,,,,
0.17797139286994934,0.8960914611816406,0.9047519564628601,0.7979254722595215,0.6869488954544067,0.01704694889485836,43,3249,,,,,
0.17406319081783295,0.9259033203125,0.9360678791999817,0.8919255137443542,0.8103471398353577,0.023777425289154053,43,3299,,,,,
0.12219234555959702,0.9502525329589844,0.950154185295105,0.9344714283943176,0.8787139654159546,0.029984215274453163,44,3349,,,,,
,,,,,,44,3374,0.2735982835292816,0.888041079044342,0.8923418521881104,0.872634768486023,0.7767911553382874
0.2589227855205536,0.9114151000976562,0.9159015417098999,0.8996859788894653,0.8194310665130615,0.025168526917696,45,3399,,,,,
0.14390908181667328,0.9465866088867188,0.9485772848129272,0.9193165302276611,0.8541738986968994,0.02538801170885563,45,3449,,,,,
0.06546798348426819,0.9828033447265625,0.9828557372093201,0.9769325256347656,0.9551582336425781,0.027886897325515747,46,3499,,,,,
0.2884664535522461,0.8629341125488281,0.8637906908988953,0.8367257118225098,0.7247390747070312,0.029490912333130836,47,3549,,,,,
0.16404029726982117,0.9439430236816406,0.95087069272995,0.9175747632980347,0.8511365652084351,0.043567366898059845,47,3599,,,,,
0.22262465953826904,0.9102020263671875,0.9152852296829224,0.8670508861541748,0.7732296586036682,0.024345342069864273,48,3649,,,,,
0.25173842906951904,0.8962364196777344,0.895255446434021,0.8697878122329712,0.774363100528717,0.025507211685180664,49,3699,,,,,
0.27901923656463623,0.8667335510253906,0.8700755834579468,0.8300514817237854,0.7172983884811401,0.034054432064294815,49,3749,,,,,
,,,,,,49,3749,0.2966148257255554,0.8813146948814392,0.8916361331939697,0.8577043414115906,0.7553797960281372
