train_sup_loss,trainAccuracy,trainPrecision,trainF1,trainIoU,train_unsup_loss,epoch,step,val_sup_loss,valAccuracy,valPrecision,valF1,valIoU
0.3767837882041931,0.8014068603515625,0.6422529816627502,0.44487830996513367,0.40070343017578125,0.017770446836948395,0,49,,,,,
0.43770068883895874,0.7375526428222656,0.5439838767051697,0.42447787523269653,0.3687763214111328,0.012341621331870556,1,99,,,,,
0.3946310877799988,0.7428016662597656,0.5517542958259583,0.42621123790740967,0.3714008331298828,0.0066749705001711845,1,149,,,,,
0.44441455602645874,0.6360931396484375,0.40461447834968567,0.3887878656387329,0.31804656982421875,0.024262120947241783,2,199,,,,,
0.4546171724796295,0.7562599182128906,0.7581920027732849,0.649372935295105,0.5118542313575745,0.012894883751869202,3,249,,,,,
0.3073914349079132,0.8851852416992188,0.8821361064910889,0.8333323001861572,0.7252384424209595,0.010219759307801723,3,299,,,,,
0.26789623498916626,0.9143562316894531,0.9133219718933105,0.8699206709861755,0.7778338193893433,0.02968245930969715,4,349,,,,,
,,,,,,4,374,0.3857637047767639,0.8346164226531982,0.8466395735740662,0.8255817890167236,0.7049187421798706
0.31497061252593994,0.8653907775878906,0.8647266030311584,0.821041464805603,0.7061547636985779,0.0188450887799263,5,399,,,,,
0.2840835750102997,0.8774261474609375,0.8909058570861816,0.8191568851470947,0.7066020965576172,0.016752619296312332,5,449,,,,,
0.34239259362220764,0.8248481750488281,0.8513224124908447,0.7583131790161133,0.6276887059211731,0.021618206053972244,6,499,,,,,
0.2702302634716034,0.8771286010742188,0.8888431191444397,0.784827470779419,0.66829514503479,0.017231350764632225,7,549,,,,,
0.21196874976158142,0.9324073791503906,0.9494656920433044,0.8739982843399048,0.7865666151046753,0.02598167583346367,7,599,,,,,
0.1464170515537262,0.9645309448242188,0.9686042070388794,0.9287043809890747,0.8710625171661377,0.02359398826956749,8,649,,,,,
0.29584503173828125,0.9032859802246094,0.9022805690765381,0.8605356216430664,0.7633077502250671,0.038290828466415405,9,699,,,,,
0.21340863406658173,0.9219207763671875,0.920527994632721,0.8727891445159912,0.7830617427825928,0.026568632572889328,9,749,,,,,
,,,,,,9,749,0.50685715675354,0.7171374559402466,0.7228849530220032,0.6851397752761841,0.5299901366233826
0.2918495237827301,0.8616256713867188,0.8583512306213379,0.81723952293396,0.7008222341537476,0.01764758676290512,10,799,,,,,
0.26680707931518555,0.9071311950683594,0.9138387441635132,0.8839868903160095,0.7959653735160828,0.03402048721909523,11,849,,,,,
0.31426090002059937,0.8663673400878906,0.8845702409744263,0.7226332426071167,0.6049349904060364,0.019003942608833313,11,899,,,,,
0.16929182410240173,0.9471702575683594,0.9477018117904663,0.9110830426216125,0.8416711688041687,0.01619129627943039,12,949,,,,,
